zip,state_name,county_name
601,Puerto Rico,Adjuntas
602,Puerto Rico,Aguada
603,Puerto Rico,Aguadilla
606,Puerto Rico,Maricao
610,Puerto Rico,Añasco
611,Puerto Rico,Utuado
612,Puerto Rico,Arecibo
616,Puerto Rico,Arecibo
617,Puerto Rico,Barceloneta
622,Puerto Rico,Cabo Rojo
623,Puerto Rico,Cabo Rojo
624,Puerto Rico,Peñuelas
627,Puerto Rico,Camuy
631,Puerto Rico,Lares
637,Puerto Rico,Sabana Grande
638,Puerto Rico,Ciales
641,Puerto Rico,Utuado
646,Puerto Rico,Dorado
647,Puerto Rico,Guánica
650,Puerto Rico,Florida
652,Puerto Rico,Arecibo
653,Puerto Rico,Guánica
656,Puerto Rico,Guayanilla
659,Puerto Rico,Hatillo
660,Puerto Rico,Hormigueros
662,Puerto Rico,Isabela
664,Puerto Rico,Jayuya
667,Puerto Rico,Lajas
669,Puerto Rico,Lares
670,Puerto Rico,Las Marías
674,Puerto Rico,Manatí
676,Puerto Rico,Moca
677,Puerto Rico,Rincón
678,Puerto Rico,Quebradillas
680,Puerto Rico,Mayagüez
682,Puerto Rico,Mayagüez
683,Puerto Rico,San Germán
685,Puerto Rico,San Sebastián
687,Puerto Rico,Morovis
688,Puerto Rico,Arecibo
690,Puerto Rico,Aguadilla
692,Puerto Rico,Vega Alta
693,Puerto Rico,Vega Baja
694,Puerto Rico,Vega Baja
698,Puerto Rico,Yauco
703,Puerto Rico,Aguas Buenas
704,Puerto Rico,Salinas
705,Puerto Rico,Aibonito
707,Puerto Rico,Maunabo
714,Puerto Rico,Arroyo
715,Puerto Rico,Ponce
716,Puerto Rico,Ponce
717,Puerto Rico,Ponce
718,Puerto Rico,Naguabo
719,Puerto Rico,Naranjito
720,Puerto Rico,Orocovis
723,Puerto Rico,Patillas
725,Puerto Rico,Caguas
727,Puerto Rico,Caguas
728,Puerto Rico,Ponce
729,Puerto Rico,Canóvanas
730,Puerto Rico,Ponce
731,Puerto Rico,Ponce
735,Puerto Rico,Ceiba
736,Puerto Rico,Cayey
738,Puerto Rico,Fajardo
739,Puerto Rico,Cidra
740,Puerto Rico,Fajardo
741,Puerto Rico,Humacao
745,Puerto Rico,Río Grande
751,Puerto Rico,Salinas
754,Puerto Rico,San Lorenzo
757,Puerto Rico,Santa Isabel
765,Puerto Rico,Vieques
766,Puerto Rico,Villalba
767,Puerto Rico,Yabucoa
769,Puerto Rico,Coamo
771,Puerto Rico,Las Piedras
772,Puerto Rico,Loíza
773,Puerto Rico,Luquillo
775,Puerto Rico,Culebra
777,Puerto Rico,Juncos
778,Puerto Rico,Gurabo
780,Puerto Rico,Ponce
782,Puerto Rico,Comerío
783,Puerto Rico,Corozal
784,Puerto Rico,Guayama
786,Puerto Rico,Aibonito
791,Puerto Rico,Humacao
794,Puerto Rico,Barranquitas
795,Puerto Rico,Juana Díaz
802,Virgin Islands,St. Thomas
820,Virgin Islands,St. Croix
830,Virgin Islands,St. John
840,Virgin Islands,St. Croix
850,Virgin Islands,St. Croix
851,Virgin Islands,St. Croix
901,Puerto Rico,San Juan
906,Puerto Rico,San Juan
907,Puerto Rico,San Juan
909,Puerto Rico,San Juan
911,Puerto Rico,San Juan
912,Puerto Rico,San Juan
913,Puerto Rico,San Juan
915,Puerto Rico,San Juan
917,Puerto Rico,San Juan
918,Puerto Rico,San Juan
920,Puerto Rico,San Juan
921,Puerto Rico,San Juan
923,Puerto Rico,San Juan
924,Puerto Rico,San Juan
925,Puerto Rico,San Juan
926,Puerto Rico,San Juan
927,Puerto Rico,San Juan
934,Puerto Rico,Guaynabo
949,Puerto Rico,Toa Baja
950,Puerto Rico,Dorado
951,Puerto Rico,Toa Baja
952,Puerto Rico,Toa Baja
953,Puerto Rico,Toa Alta
956,Puerto Rico,Bayamón
957,Puerto Rico,Bayamón
959,Puerto Rico,Bayamón
960,Puerto Rico,Bayamón
961,Puerto Rico,Bayamón
962,Puerto Rico,Cataño
965,Puerto Rico,Guaynabo
966,Puerto Rico,Guaynabo
968,Puerto Rico,Guaynabo
969,Puerto Rico,Guaynabo
971,Puerto Rico,Guaynabo
976,Puerto Rico,Trujillo Alto
979,Puerto Rico,Carolina
982,Puerto Rico,Carolina
983,Puerto Rico,Carolina
985,Puerto Rico,Carolina
987,Puerto Rico,Carolina
1001,Massachusetts,Hampden
1002,Massachusetts,Hampshire
1003,Massachusetts,Hampshire
1005,Massachusetts,Worcester
1007,Massachusetts,Hampshire
1008,Massachusetts,Hampden
1009,Massachusetts,Hampden
1010,Massachusetts,Hampden
1011,Massachusetts,Hampden
1012,Massachusetts,Hampshire
1013,Massachusetts,Hampden
1020,Massachusetts,Hampden
1022,Massachusetts,Hampden
1026,Massachusetts,Hampshire
1027,Massachusetts,Hampshire
1028,Massachusetts,Hampden
1029,Massachusetts,Berkshire
1030,Massachusetts,Hampden
1031,Massachusetts,Worcester
1032,Massachusetts,Hampshire
1033,Massachusetts,Hampshire
1034,Massachusetts,Hampden
1035,Massachusetts,Hampshire
1036,Massachusetts,Hampden
1037,Massachusetts,Worcester
1038,Massachusetts,Hampshire
1039,Massachusetts,Hampshire
1040,Massachusetts,Hampden
1050,Massachusetts,Hampshire
1053,Massachusetts,Hampshire
1054,Massachusetts,Franklin
1056,Massachusetts,Hampden
1057,Massachusetts,Hampden
1060,Massachusetts,Hampshire
1062,Massachusetts,Hampshire
1063,Massachusetts,Hampshire
1066,Massachusetts,Hampshire
1068,Massachusetts,Worcester
1069,Massachusetts,Hampden
1070,Massachusetts,Hampshire
1071,Massachusetts,Hampden
1072,Massachusetts,Franklin
1073,Massachusetts,Hampshire
1074,Massachusetts,Worcester
1075,Massachusetts,Hampshire
1077,Massachusetts,Hampden
1079,Massachusetts,Hampden
1080,Massachusetts,Hampden
1081,Massachusetts,Hampden
1082,Massachusetts,Hampshire
1083,Massachusetts,Worcester
1084,Massachusetts,Hampshire
1085,Massachusetts,Hampden
1088,Massachusetts,Hampshire
1089,Massachusetts,Hampden
1092,Massachusetts,Worcester
1093,Massachusetts,Franklin
1094,Massachusetts,Worcester
1095,Massachusetts,Hampden
1096,Massachusetts,Hampshire
1097,Massachusetts,Hampden
1098,Massachusetts,Hampshire
1103,Massachusetts,Hampden
1104,Massachusetts,Hampden
1105,Massachusetts,Hampden
1106,Massachusetts,Hampden
1107,Massachusetts,Hampden
1108,Massachusetts,Hampden
1109,Massachusetts,Hampden
1118,Massachusetts,Hampden
1119,Massachusetts,Hampden
